updatetime,updateinterval,authoritycode,sectionid,traveltime,travelspeed,congestionlevelid,congestionlevel,hashistorical,hasvd,hasavi,hasetag,hasgvp,hascvp,hasothers,datacollecttime
2022-01-19 16:32:27,60,THB,3000900113709G,59,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113809G,62,58,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113909G,57,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114009G,106,56,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114174G,68,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114293G,38,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114360U,26,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114405U,25,57,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114444U,39,57,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114504U,62,52,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114593U,57,48,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114669U,65,57,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114772U,56,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114857U,16,59,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114884U,18,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114915U,54,67,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115015U,56,64,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115115U,57,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115215U,98,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115387U,16,59,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115414U,31,29,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115439U,43,40,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115487U,14,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115508U,65,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115608U,176,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115804U,16,41,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115822U,36,41,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115863U,49,41,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115919U,7,41,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900115927U,93,42,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116036U,81,42,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116130U,107,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116276U,17,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116299U,24,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116332U,80,66,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116479U,50,72,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116579U,50,72,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116679U,55,66,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116779U,33,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900116830U,123,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117018U,3,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117023U,16,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117047U,11,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117064U,7,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117075U,65,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117175U,31,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117222U,95,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117367U,65,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117467U,58,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117565U,19,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117598U,12,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117619U,50,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117703U,52,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117783U,55,68,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117886U,53,68,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900117986U,41,68,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118063U,51,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118141U,81,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118264U,35,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118317U,22,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118350U,67,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118452U,18,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118479U,18,47,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118503U,7,47,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118512U,12,47,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118528U,11,47,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900118542U,8,43,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000010G,4,44,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000015G,8,44,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000025G,61,44,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000100G,26,31,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000122G,26,32,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000145G,6,30,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000150G,18,30,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000165G,7,31,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000171G,14,31,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000183G,5,30,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000187G,8,41,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000196G,1,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000198G,155,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000392G,16,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000414G,76,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000520G,73,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000622G,73,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000723G,73,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000825G,73,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940000927G,74,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001030G,72,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001130G,92,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001232G,92,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001334G,92,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001436G,73,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001537G,86,50,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001656G,34,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001694G,20,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001716G,17,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940001735G,14,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002856G,1,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002860G,5,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002867G,39,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002910G,13,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002925G,29,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002957G,20,40,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940002979G,110,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003171G,25,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003215G,67,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003333G,58,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003435G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003535G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003635G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003735G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003835G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940003935G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004035G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004135G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004235G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004335G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004435G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004535G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004635G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004735G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004835G,57,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940004935G,45,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005014G,4,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005021G,96,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005189G,27,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005237G,2,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005241G,30,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005293U,19,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005327U,31,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005382U,13,63,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005405U,5,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000940005412U,32,49,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
